datetime,SC1,SC2,SC3,SC4,SC5
2016-09-27 11:00:00,200.75,470.94,589.5,773.41,928.88
2016-09-27 13:00:00,216.92,513.0,637.7,843.67,950.98
2016-09-27 15:00:00,205.15,531.24,739.8,771.73,1021.94
2016-09-27 17:00:00,179.44,523.63,656.92,844.94,1053.58
2016-09-27 19:00:00,179.3,462.24,620.54,680.54,736.66
2016-09-27 21:00:00,152.44,387.63,435.61,494.16,678.18
2016-09-27 23:00:00,150.3,345.48,402.66,485.81,699.35
2016-09-28 01:00:00,161.31,371.82,416.81,495.75,743.57
2016-09-28 03:00:00,177.49,425.91,474.54,576.52,821.62
2016-09-28 05:00:00,206.16,439.71,492.5,581.54,791.48
2016-09-28 07:00:00,167.07,426.14,486.62,559.88,774.13
2016-09-29 09:00:00,58.84,142.69,189.81,260.73,511.7
2016-09-29 11:00:00,59.57,179.11,219.16,403.54,864.67
2016-09-29 13:00:00,30.25,141.54,229.82,177.13,817.26
2016-09-29 15:00:00,3.05,12.23,37.59,64.82,138.08
2016-09-29 19:00:00,18.45,71.61,105.89,167.76,212.44
2016-09-29 21:00:00,41.12,107.21,129.87,165.93,330.33
2016-09-29 23:00:00,29.41,86.28,111.85,151.84,293.47
2016-09-30 01:00:00,25.45,78.28,97.53,122.47,255.72
2016-09-30 03:00:00,14.68,43.88,45.76,71.53,191.48
2016-09-30 05:00:00,16.52,70.28,73.63,79.14,175.65
2016-09-30 07:00:00,5.85,46.39,70.53,100.5,400.94
2016-09-30 09:00:00,5.07,38.91,43.34,64.81,331.5
2016-09-30 11:00:00,4.38,42.8,69.2,71.57,233.82
2016-09-30 13:00:00,2.38,18.98,30.7,46.62,113.44
2016-09-30 21:00:00,6.23,37.95,65.1,233.74,1160.36
2016-09-30 23:00:00,10.32,47.84,71.87,148.09,939.94
2016-10-01 03:00:00,20.83,64.95,88.36,130.98,526.89
2016-10-01 05:00:00,21.64,71.74,86.19,141.43,550.67
2016-10-01 07:00:00,12.18,67.56,88.16,102.13,488.36
2016-10-01 09:00:00,4.23,57.2,86.04,77.47,304.3
2016-10-01 17:00:00,7.81,35.2,51.28,83.43,340.64
2016-10-01 19:00:00,8.21,41.33,65.55,119.79,421.0
2016-10-01 21:00:00,8.85,48.21,72.53,109.68,583.1
2016-10-07 07:00:00,60.98,128.4,226.86,381.43,602.04
2016-10-07 09:00:00,36.35,134.25,230.8,317.6,447.15
2016-10-07 11:00:00,34.87,161.67,245.56,324.56,492.34
2016-10-07 13:00:00,65.97,229.06,310.13,421.2,620.67
2016-10-07 15:00:00,100.34,210.42,108.28,132.4,273.13
2016-10-07 17:00:00,71.81,94.08,77.6,101.53,162.88
2016-10-07 19:00:00,47.02,92.06,103.67,114.14,168.74
2016-10-07 21:00:00,44.77,78.79,92.1,84.12,148.97
2016-10-09 03:00:00,49.74,88.78,92.49,103.09,161.18
2016-10-09 05:00:00,57.97,105.41,117.06,117.21,155.09
2016-10-09 07:00:00,55.38,69.52,81.13,119.27,195.84
2016-10-09 09:00:00,34.8,66.72,79.28,96.13,148.28
2016-10-09 11:00:00,28.43,59.31,81.73,102.59,166.12
2016-10-09 17:00:00,34.48,146.99,169.18,243.17,396.77
2016-10-09 19:00:00,33.12,124.94,145.99,185.39,354.94
2016-10-09 21:00:00,36.67,97.49,131.19,191.8,340.78
2016-10-10 13:00:00,132.13,175.38,191.38,239.44,306.31
2016-10-10 15:00:00,118.36,153.06,168.84,211.5,298.0
2016-10-10 17:00:00,97.09,152.25,171.52,209.97,327.19
2016-10-10 19:00:00,83.0,158.62,208.7,272.03,438.06
2016-10-10 21:00:00,91.51,169.46,234.64,309.61,474.0
2016-10-10 23:00:00,84.97,178.83,227.78,316.04,546.77
2016-10-11 01:00:00,83.2,172.74,213.23,323.75,546.54
2016-10-11 03:00:00,80.41,178.98,210.52,282.33,459.01
2016-10-11 05:00:00,109.51,135.27,162.99,220.75,376.9
2016-10-11 07:00:00,101.61,138.7,132.58,158.69,227.11
